Time	Acceleration - Dev3_ai0	Acceleration - Dev3_ai1	Acceleration - Dev3_ai2
1.767969E-1	3.605469E-3	6.813770E-3	3.832653E-3
1.774023E-1	5.521415E-3	7.039548E-3	4.595257E-3
1.780078E-1	2.061729E-3	-2.524616E-4	1.294489E-4
1.786133E-1	4.508527E-3	7.954863E-3	1.203195E-3
1.792188E-1	1.469860E-3	4.391237E-3	3.185965E-3
1.798242E-1	4.404797E-3	4.891609E-3	1.715665E-3
1.804297E-1	6.955324E-3	6.154743E-3	3.637426E-3
1.810352E-1	5.930232E-3	9.291223E-3	2.264739E-3
1.816406E-1	3.794623E-3	3.152510E-3	1.233699E-3
1.822461E-1	4.240050E-3	6.734443E-3	3.911964E-3
1.828516E-1	3.117330E-3	8.886311E-4	2.356252E-3
1.834570E-1	5.021073E-3	6.612401E-3	1.819379E-3
1.840625E-1	5.283448E-3	6.472053E-3	3.222570E-3
1.846680E-1	3.764114E-3	6.081518E-3	2.783310E-3
1.852734E-1	4.935648E-3	5.690984E-3	4.241408E-3
1.858789E-1	3.855640E-3	4.507176E-3	2.398958E-3
1.864844E-1	4.233948E-3	4.610912E-3	1.483833E-3
1.870898E-1	3.800725E-3	8.058599E-3	5.034516E-3
1.876953E-1	2.787836E-3	4.208174E-3	3.405595E-3
1.883008E-1	4.410899E-3	5.770311E-3	2.356252E-3
1.889062E-1	3.825132E-3	4.867200E-3	1.353317E-5
1.895117E-1	2.537665E-3	8.398143E-4	2.758689E-4
1.901172E-1	5.472602E-3	4.403441E-3	2.283042E-3
1.907227E-1	6.058369E-3	7.009037E-3	4.546450E-3
1.913281E-1	4.465814E-3	7.790106E-3	1.447228E-3
1.919336E-1	5.515314E-3	7.137182E-3	2.466067E-3
1.925391E-1	7.071257E-3	9.651247E-3	6.535320E-3
1.931445E-1	2.952583E-3	2.969447E-3	2.398958E-3
1.937500E-1	4.532934E-3	4.678035E-3	2.612487E-3
1.943555E-1	5.228532E-3	4.385134E-3	1.465531E-3
1.949609E-1	5.411584E-3	3.390492E-3	9.774643E-4
1.955664E-1	7.187190E-3	8.327091E-3	5.967943E-3
1.961719E-1	3.776318E-3	6.649014E-3	3.869258E-3
1.967773E-1	6.888205E-3	8.479644E-3	1.459430E-3
1.973828E-1	5.283448E-3	6.758851E-3	4.174299E-3
1.979883E-1	2.732920E-3	3.366084E-3	3.246973E-3
1.985937E-1	3.977675E-3	5.178407E-3	4.491542E-3
1.991992E-1	3.428519E-3	5.813026E-3	9.042544E-4
1.998047E-1	5.179718E-3	1.297472E-3	-3.281133E-4
2.004102E-1	6.015656E-3	9.950250E-3	4.204803E-3
2.010156E-1	3.788521E-3	5.770311E-3	4.485442E-3
2.016211E-1	3.703097E-3	4.928221E-3	2.514655E-4
2.022266E-1	6.040063E-3	4.202071E-3	2.478268E-3
2.028320E-1	2.360714E-3	5.099080E-3	3.497107E-3
2.034375E-1	2.275290E-3	4.501074E-3	4.497643E-3
2.040430E-1	5.747180E-3	1.022484E-2	2.862621E-3
2.046484E-1	5.222430E-3	3.060979E-3	-9.503980E-4
2.052539E-1	3.831233E-3	3.774924E-3	2.826016E-3
2.058594E-1	1.311215E-3	5.782515E-3	6.169271E-3
2.064648E-1	2.263086E-3	4.379032E-3	1.160489E-3
2.070703E-1	7.425158E-3	7.869434E-3	-1.096818E-3
2.076758E-1	4.801410E-3	8.095211E-3	3.930266E-3
2.082813E-1	4.514628E-3	7.222611E-3	4.418332E-3
2.088867E-1	3.404112E-3	7.185998E-3	4.302417E-3
2.094922E-1	6.332947E-3	1.042011E-2	3.082251E-3
2.100977E-1	1.945796E-3	-2.524616E-4	6.114145E-4
2.107031E-1	2.976990E-3	5.330960E-3	5.144331E-3
2.113086E-1	2.781734E-3	2.157868E-3	3.905863E-3
2.119141E-1	3.715300E-3	5.391981E-3	-1.706901E-3
